Female,Pclass,Age,FamilySize,Survived
FALSE,1,21,2,FALSE
TRUE,1,31,0,FALSE
FALSE,1,45,1,TRUE
TRUE,2,34,1,TRUE
FALSE,1,21,2,TRUE
TRUE,1,31,0,TRUE
FALSE,1,45,1,TRUE
TRUE,2,34,1,TRUE
TRUE,1,36,1,TRUE
TRUE,2,28,0,TRUE
TRUE,1,37,2,TRUE
TRUE,1,24,1,TRUE
TRUE,2,29,0,TRUE
TRUE,1,42,1,TRUE
TRUE,2,31,0,TRUE
TRUE,1,33,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,45,2,TRUE
TRUE,2,8,0,TRUE
TRUE,1,28,1,TRUE
TRUE,2,33,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,31,0,TRUE
TRUE,1,36,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,31,1,TRUE
TRUE,2,29,0,TRUE
TRUE,1,33,1,TRUE
TRUE,2,25,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,32,1,TRUE
TRUE,2,26,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,32,0,TRUE
TRUE,1,36,2,TRUE
TRUE,2,24,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,30,0,TRUE
TRUE,1,31,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,35,1,TRUE
TRUE,2,25,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,30,0,TRUE
TRUE,1,28,1,TRUE
TRUE,2,36,0,TRUE
TRUE,1,27,1,TRUE
TRUE,2,26,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,32,1,TRUE
TRUE,2,24,0,TRUE
TRUE,1,26,1,TRUE
TRUE,2,25,0,TRUE
TRUE,1,30,1,TRUE
TRUE,2,29,0,TRUE
TRUE,1,33,1,TRUE
TRUE,2,28,0,TRUE
TRUE,1,31,1,TRUE
TRUE,2,35,0,TRUE
TRUE,1,27,1,TRUE
TRUE,2,32,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,26,0,TRUE
TRUE,1,28,1,TRUE
TRUE,2,24,0,TRUE
TRUE,1,35,1,TRUE
TRUE,2,28,0,TRUE
TRUE,1,30,1,TRUE
TRUE,2,32,0,TRUE
TRUE,1,26,1,TRUE
TRUE,2,36,0,TRUE
TRUE,1,33,1,TRUE
TRUE,2,34,0,TRUE
TRUE,1,27,1,TRUE
TRUE,2,31,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,26,1,TRUE
TRUE,2,29,0,TRUE
TRUE,1,36,2,TRUE
TRUE,2,28,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,33,0,TRUE
TRUE,1,32,1,TRUE
TRUE,2,24,0,TRUE
TRUE,1,31,1,TRUE
TRUE,2,35,0,TRUE
TRUE,1,28,1,TRUE
TRUE,2,26,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,32,0,TRUE
TRUE,1,27,1,TRUE
TRUE,2,29,0,TRUE
TRUE,1,35,1,TRUE
TRUE,2,32,0,TRUE
TRUE,1,31,1,TRUE
TRUE,2,34,0,TRUE
TRUE,1,30,1,TRUE
TRUE,2,25,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,28,0,TRUE
TRUE,1,32,1,TRUE
TRUE,2,36,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,26,0,TRUE
TRUE,1,31,1,TRUE
TRUE,2,27,0,TRUE
TRUE,1,28,1,TRUE
TRUE,2,30,0,TRUE
TRUE,1,29,1,TRUE
TRUE,2,34,0,TRUE
TRUE,1,35,1,TRUE
TRUE,2,26,0,TRUE
TRUE,1,27,1,TRUE
TRUE,2,34,0,TRUE
TRUE,1,32,1,TRUE
TRUE,2,29,0,TRUE
TRUE,1,28,1,TRUE
TRUE,2,24,0,TRUE
TRUE,1,30,1,TRUE
TRUE,2,31,0,TRUE
TRUE,1,34,1,TRUE
TRUE,2,24,0,TRUE
TRUE,1,33,1,TRUE
TRUE,2,36,0,TRUE
TRUE,1,25,1,TRUE
TRUE,2,35,0,TRUE
