female,Race,Citizen,Income,Profession
1,Asian,TRUE,25775,Unemployment
1,Hispanic,FALSE,26738,PublicWork
1,Black,FALSE,24243,Unemployment
1,Asian,FALSE,33848,PublicWork
1,Asian,TRUE,33000,Unemployment
1,Pacific,TRUE,15938,PublicWork
1,Asian,TRUE,20547,PublicWork
1,Asian,TRUE,21194,PublicWork
1,Asian,TRUE,28774,PrivateWork
1,Black,TRUE,32007,PublicWork
1,Asian,FALSE,89618,PublicWork
1,Black,TRUE,24122,PublicWork
1,Asian,FALSE,101186,PublicWork
1,Asian,FALSE,110917,PublicWork
1,Hispanic,FALSE,27875,PublicWork
1,Asian,FALSE,37810,PublicWork
1,Asian,TRUE,46250,PublicWork
1,White,FALSE,57628,PublicWork
1,Native,FALSE,59756,PrivateWork
1,White,FALSE,46061,PrivateWork
1,Black,FALSE,27332,Unemployment
1,Native,TRUE,27547,Unemployment
1,Asian,TRUE,24408,Unemployment
1,Hispanic,FALSE,24299,Unemployment
1,Hispanic,TRUE,37552,PrivateWork
1,White,TRUE,53477,SelfEmployed
1,Hispanic,FALSE,54896,SelfEmployed
1,Native,TRUE,41115,PublicWork
1,Hispanic,TRUE,39978,PrivateWork
1,Hispanic,FALSE,16558,Unemployment
1,Hispanic,TRUE,27131,Unemployment
1,Hispanic,FALSE,21597,Unemployment
1,Hispanic,TRUE,35224,PrivateWork
1,Asian,TRUE,72027,PrivateWork
1,Hispanic,TRUE,63411,PublicWork
1,Hispanic,TRUE,38750,PublicWork
1,Hispanic,TRUE,40833,SelfEmployed
1,Hispanic,FALSE,42996,PrivateWork
1,Hispanic,TRUE,49602,SelfEmployed
1,White,TRUE,28766,PrivateWork
1,Black,TRUE,16657,Unemployment
1,Hispanic,FALSE,31913,Unemployment
1,Asian,TRUE,16528,Unemployment
1,Hispanic,TRUE,40493,PrivateWork
1,Hispanic,TRUE,44529,SelfEmployed
1,White,TRUE,49893,SelfEmployed
1,Hispanic,TRUE,62740,SelfEmployed
1,Pacific,FALSE,61136,PrivateWork
1,White,TRUE,67784,SelfEmployed
1,White,TRUE,52721,SelfEmployed
1,White,TRUE,47604,SelfEmployed
1,Hispanic,TRUE,38939,PrivateWork
1,Hispanic,FALSE,41053,PrivateWork
1,Asian,FALSE,41584,PrivateWork
1,Hispanic,FALSE,48398,PrivateWork
1,Hispanic,FALSE,49171,PrivateWork
1,Hispanic,TRUE,52415,PrivateWork
1,White,TRUE,43846,SelfEmployed
1,Hispanic,TRUE,53800,PrivateWork
1,Hispanic,TRUE,64018,SelfEmployed
1,Hispanic,FALSE,29190,SelfEmployed
1,Asian,FALSE,54248,FamilyWork
1,Hispanic,TRUE,40678,PrivateWork
1,Asian,FALSE,112090,PrivateWork
1,Asian,FALSE,64574,PrivateWork
1,Hispanic,TRUE,61272,SelfEmployed
1,Asian,FALSE,49878,PrivateWork
1,Asian,FALSE,40456,PrivateWork
1,Hispanic,TRUE,45046,Unemployment
1,Hispanic,TRUE,26875,SelfEmployed
1,Asian,FALSE,75597,SelfEmployed
1,Hispanic,FALSE,44677,SelfEmployed
1,Asian,FALSE,45375,PrivateWork
1,Native,FALSE,56710,SelfEmployed
1,Hispanic,FALSE,62159,PrivateWork
1,Hispanic,FALSE,85850,PrivateWork
1,Asian,FALSE,47429,SelfEmployed
1,Hispanic,TRUE,38695,PrivateWork
1,Hispanic,FALSE,61017,PrivateWork
1,Hispanic,FALSE,43864,SelfEmployed
1,Hispanic,FALSE,47109,PrivateWork
1,Hispanic,TRUE,46023,PrivateWork
1,Hispanic,FALSE,35573,PrivateWork
1,Hispanic,FALSE,26831,SelfEmployed
1,Asian,FALSE,46264,PrivateWork
1,Hispanic,TRUE,43155,PrivateWork
1,Hispanic,TRUE,27813,Unemployment
1,Hispanic,FALSE,46989,SelfEmployed
1,Hispanic,TRUE,58000,SelfEmployed
1,Asian,TRUE,57241,PrivateWork
1,Hispanic,TRUE,56331,PrivateWork
1,Hispanic,TRUE,63778,SelfEmployed
1,Black,FALSE,31648,Unemployment
1,Black,FALSE,37159,Unemployment
1,Black,FALSE,34800,Unemployment
1,Asian,FALSE,33284,Unemployment
1,Hispanic,FALSE,26131,Unemployment
1,Hispanic,FALSE,49631,PrivateWork
1,Hispanic,FALSE,40543,FamilyWork
1,Asian,FALSE,44902,Unemployment
1,Hispanic,FALSE,33867,SelfEmployed
1,Hispanic,FALSE,30942,Unemployment
1,Black,FALSE,31458,Unemployment
1,Hispanic,FALSE,37500,Unemployment
1,Hispanic,FALSE,38644,Unemployment
1,Hispanic,FALSE,28706,Unemployment
1,Hispanic,FALSE,26092,Unemployment
1,Asian,FALSE,44494,PrivateWork
1,Hispanic,FALSE,68882,PrivateWork
1,Asian,FALSE,57813,PrivateWork
1,Hispanic,FALSE,70192,PrivateWork
1,Asian,FALSE,82396,PrivateWork
1,Asian,FALSE,62928,PrivateWork
1,Hispanic,FALSE,50800,Unemployment
1,Hispanic,FALSE,32841,SelfEmployed
1,Hispanic,FALSE,65457,SelfEmployed
1,Hispanic,FALSE,34550,PrivateWork
1,Hispanic,FALSE,50177,PrivateWork
1,Asian,FALSE,34973,SelfEmployed
1,Asian,TRUE,34948,PrivateWork
1,Hispanic,FALSE,37274,SelfEmployed
1,Hispanic,TRUE,32679,SelfEmployed
1,Hispanic,FALSE,68603,Unemployment
1,Asian,TRUE,24260,PrivateWork
1,Black,FALSE,26820,Unemployment
1,Black,FALSE,32639,Unemployment
1,Hispanic,FALSE,48932,PrivateWork
1,Hispanic,FALSE,30825,SelfEmployed
1,Black,FALSE,31203,Unemployment
1,Black,FALSE,33958,PrivateWork
1,Asian,FALSE,84358,PrivateWork
1,Hispanic,TRUE,43669,PrivateWork
1,Hispanic,FALSE,48339,PrivateWork
1,Asian,FALSE,93286,PrivateWork
1,Hispanic,FALSE,60536,PrivateWork
1,Asian,FALSE,40223,PrivateWork
1,Asian,TRUE,42163,PrivateWork
1,Asian,TRUE,42977,SelfEmployed
1,Asian,FALSE,58561,PrivateWork
1,Asian,FALSE,53125,PrivateWork
1,Asian,FALSE,163333,PrivateWork
1,Asian,FALSE,123611,FamilyWork
1,Asian,FALSE,103614,FamilyWork
1,Hispanic,FALSE,54091,FamilyWork
1,Asian,FALSE,68587,PrivateWork
1,Asian,FALSE,94830,SelfEmployed
1,Hispanic,FALSE,64231,Unemployment
1,Hispanic,FALSE,29471,PrivateWork
1,Asian,FALSE,59728,PrivateWork
1,Hispanic,FALSE,35342,PrivateWork
1,White,FALSE,79250,SelfEmployed
