State,female,Race,Citizen,Income,Profession
Alabama,1,Black,FALSE,44922,SelfEmployed
Alabama,1,White,TRUE,51965,PublicWork
Alabama,1,Hispanic,TRUE,63092,PrivateWork
Alabama,1,Black,TRUE,34821,PrivateWork
Alabama,1,Asian,FALSE,31390,SelfEmployed
Alabama,1,Asian,FALSE,51165,PrivateWork
Alabama,1,Asian,TRUE,61590,SelfEmployed
Alabama,1,Black,TRUE,51206,PublicWork
Alabama,1,Hispanic,TRUE,58844,PrivateWork
Alabama,1,Hispanic,FALSE,45160,FamilyWork
Alabama,1,White,TRUE,41970,PrivateWork
Alabama,1,Asian,FALSE,52159,Unemployment
Alabama,1,Asian,FALSE,41417,PrivateWork
Alabama,1,Black,TRUE,24464,PrivateWork
Alabama,1,Hispanic,TRUE,43325,PrivateWork
Alabama,1,Asian,FALSE,66067,FamilyWork
Alabama,1,Black,TRUE,29189,PrivateWork
Alabama,1,Black,FALSE,30517,PrivateWork
Alabama,1,Black,FALSE,47500,SelfEmployed
Alabama,1,Black,TRUE,21167,Unemployment
Alabama,1,Black,FALSE,32282,PrivateWork
Alabama,1,Black,FALSE,27222,PrivateWork
Alabama,1,Black,TRUE,15781,Unemployment
Alabama,1,Black,TRUE,22027,Unemployment
Alabama,1,Hispanic,TRUE,15417,Unemployment
Alabama,1,Black,FALSE,18304,Unemployment
Alabama,1,Black,FALSE,50051,PrivateWork
Alabama,1,Hispanic,TRUE,51767,PublicWork
Alabama,1,Asian,FALSE,43856,PublicWork
Alabama,1,Asian,TRUE,38875,SelfEmployed
Alabama,1,Black,FALSE,36357,PrivateWork
Alabama,1,Black,FALSE,31022,Unemployment
Alabama,1,Black,FALSE,33719,PrivateWork
Alabama,1,Black,TRUE,22618,Unemployment
Alabama,1,Black,FALSE,35804,PrivateWork
Alabama,1,Hispanic,TRUE,41717,FamilyWork
Alabama,1,Black,FALSE,30994,SelfEmployed
Alabama,1,Black,FALSE,27750,Unemployment
Alabama,1,Black,TRUE,40536,PrivateWork
Alabama,1,Pacific,FALSE,35941,SelfEmployed
Alabama,1,Black,TRUE,32708,Unemployment
Alabama,1,Black,FALSE,29048,Unemployment
Alabama,1,Black,FALSE,31371,FamilyWork
Alabama,1,Hispanic,FALSE,44861,PrivateWork
Alabama,1,Black,FALSE,36555,PublicWork
Alabama,1,Black,FALSE,37188,PrivateWork
Alabama,1,Black,FALSE,19731,SelfEmployed
Alabama,1,Black,FALSE,44474,PrivateWork
